insee,code_posta,nom_com,cv,nom_cv,dep,nom_dep,reg,nom_reg,libgeo,APL2023,code_qual,chom_24,population,count_coll,count_ecol,count_lyce,BUS_valeur,BUS_val_1,TRAIN_valeur,TRAIN_val_1,METRO_valeur,METRO_val_1,TRAM_valeur,TRAM_val_1,paysage,nb_comm,nb_cultu,nb_com_ali,nb_gd_surf,nb_loisirs,nb_sport,nb_creche,avg_price_sqm,median_price_sqm,total_transactions,transactions_last_year,price_evolution_1y,price_evolution_3y,avg_rent_sqm,rent_quality,nb_obs_commune,score_1deg,score_2nddeg,score_transp,score_sante,score_economique,score_sport_loisirs,score_culture,score_immo,latitude,longitude
62036,62134.0,Anvin,6238,Saint-Pol-sur-Ternoise,62,Pas-de-Calais,32,Hauts-de-France,Anvin,3.3,2.0,8.2,713.0,0,1,0,5.64,4.0,1.41,1.0,0.0,0.0,0.0,0.0,plaine,6.0,1.0,1.0,1.0,12.0,12.0,0.0,1575.43,1423.52,52.0,52.0,9.28,48.82,9.53984249735749,0.668553933203451,38.0,56.0,44.0,93.0,63.0,3.0,15.0,10.0,55.82,50.45,2.258
62039,62580.0,Arleux-en-Gohelle,6215,Brebières,62,Pas-de-Calais,32,Hauts-de-France,Arleux-en-Gohelle,3.7,2.0,8.2,982.0,0,0,0,2.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,18.0,6.0,10.0,1.0,52.0,52.0,3.0,1999.81,2175.81,65.0,65.0,-12.66,24.85,11.986307603447,0.801889776693517,45.0,86.0,44.0,57.0,75.0,41.0,79.0,70.0,53.79,50.364,2.87
13119,13470.0,Carnoux-en-Provence,1308,La Ciotat,13,Bouches-du-Rhône,93,Provence-Alpes-Côte d'Azur,Carnoux-en-Provence,4.7,3.0,8.3,6952.0,1,2,0,1.31,9.0,0.0,0.0,0.0,0.0,0.0,0.0,littoral,18.0,2.0,19.0,2.0,12.0,12.0,5.0,4766.9,4090.46,189.0,189.0,-10.08,2.79,17.5356640829676,0.832862404526972,522.0,95.0,92.0,49.0,92.0,68.0,15.0,23.0,47.26,43.258,5.566
62045,62690.0,Aubigny-en-Artois,6207,Avesnes-le-Comte,62,Pas-de-Calais,32,Hauts-de-France,Aubigny-en-Artois,3.5,2.0,8.2,1507.0,1,1,0,2.02,3.0,0.67,1.0,0.0,0.0,0.0,0.0,plaine,17.0,3.0,9.0,2.0,42.0,42.0,1.0,1805.52,1772.41,43.0,43.0,7.0,-8.14,10.1530659254895,0.705015555916694,144.0,77.0,92.0,76.0,69.0,41.0,68.0,38.0,54.81,50.348,2.586
64229,64220.0,Gamarthe,6412,Montagne Basque,64,Pyrénées-Atlantiques,75,Nouvelle-Aquitaine,Gamarthe,2.7,3.0,5.6,129.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,montagne,42.0,3.0,31.0,4.0,58.0,58.0,0.0,0.0,0.0,1.0,1.0,,,10.7829709877356,0.805747159940585,5.0,20.0,44.0,21.0,43.0,84.0,83.0,38.0,0.0,43.195,-1.13
62051,62138.0,Auchy-les-Mines,6223,Douvrin,62,Pas-de-Calais,32,Hauts-de-France,Auchy-les-Mines,4.7,2.0,8.2,4658.0,1,2,0,4.09,19.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,44.0,5.0,27.0,8.0,57.0,57.0,4.0,2211.38,1785.03,122.0,122.0,-6.13,-4.23,11.020481440227,0.80268799313661,92.0,94.0,92.0,72.0,92.0,84.0,83.0,61.0,54.58,50.506,2.781
62054,62179.0,Audinghen,6222,Desvres,62,Pas-de-Calais,32,Hauts-de-France,Audinghen,2.5,2.0,8.2,626.0,0,1,0,8.03,5.0,0.0,0.0,0.0,0.0,0.0,0.0,littoral,8.0,0.0,7.0,0.0,20.0,20.0,0.0,3965.61,4341.9,14.0,14.0,19.64,33.81,12.1019488449788,0.743373284405804,2.0,56.0,44.0,88.0,36.0,23.0,32.0,2.0,47.08,50.852,1.608
62059,62610.0,Autingues,6219,Calais-2,62,Pas-de-Calais,32,Hauts-de-France,Autingues,1.5,2.0,8.2,307.0,0,0,0,6.87,2.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,24.0,1.0,19.0,6.0,32.0,32.0,0.0,1770.63,1770.63,10.0,10.0,,,10.9148716419044,0.631691058706422,1.0,20.0,44.0,85.0,11.0,75.0,54.0,10.0,54.78,50.842,1.986
62071,62550.0,Bailleul-lès-Pernes,6238,Saint-Pol-sur-Ternoise,62,Pas-de-Calais,32,Hauts-de-France,Bailleul-lŠs-Pernes,2.4,2.0,8.2,411.0,0,1,0,9.78,4.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,17.0,1.0,13.0,1.0,25.0,25.0,0.0,833.33,833.33,9.0,9.0,,,10.422238185025,0.823333501162365,0.0,56.0,44.0,91.0,33.0,51.0,41.0,10.0,57.72,50.508,2.38
62076,62850.0,Bainghen,6219,Calais-2,62,Pas-de-Calais,32,Hauts-de-France,Bainghen,1.4,2.0,8.2,211.0,0,0,0,14.02,3.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,10.0,4.0,10.0,1.0,16.0,16.0,0.0,2057.56,1615.75,6.0,6.0,,,11.6068949133825,0.750065182427557,0.0,20.0,44.0,95.0,9.0,41.0,23.0,51.0,54.84,50.751,1.902
62078,62610.0,Balinghem,6219,Calais-2,62,Pas-de-Calais,32,Hauts-de-France,Balinghem,1.8,2.0,8.2,1242.0,0,1,0,4.08,5.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,24.0,1.0,19.0,6.0,32.0,32.0,0.0,2019.59,2154.66,32.0,32.0,0.32,17.28,10.1111906399839,0.771074325966329,5.0,56.0,44.0,72.0,17.0,75.0,54.0,10.0,53.75,50.861,1.94
76386,76540.0,Limpiville,7611,Fécamp,76,Seine-Maritime,28,Normandie,Limpiville,2.8,2.0,7.9,414.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,8.0,5.0,11.0,1.0,44.0,44.0,0.0,0.0,0.0,2.0,2.0,,,10.5789797119909,0.764773099971749,0.0,56.0,44.0,21.0,47.0,44.0,71.0,61.0,0.0,49.687,0.502
62086,62158.0,Bavincourt,6207,Avesnes-le-Comte,62,Pas-de-Calais,32,Hauts-de-France,Bavincourt,2.7,2.0,8.2,423.0,0,1,0,11.93,5.0,0.0,0.0,0.0,0.0,0.0,0.0,plaine,4.0,0.0,3.0,0.0,3.0,3.0,0.0,1528.85,1465.83,55.0,55.0,,9.27,9.50364896054719,0.741442905079928,13.0,56.0,44.0,93.0,43.0,6.0,2.0,2.0,55.77,50.224,2.564
